,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
86,2015,1,Aguascalientes,1001,Aguascalientes,Trata de personas,Trata de personas,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
184,2015,1,Aguascalientes,1002,Asientos,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
282,2015,1,Aguascalientes,1003,Calvillo,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
380,2015,1,Aguascalientes,1004,Cosío,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
478,2015,1,Aguascalientes,1005,Jesús María,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
576,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
674,2015,1,Aguascalientes,1007,Rincón de Romos,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
772,2015,1,Aguascalientes,1008,San José de Gracia,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
870,2015,1,Aguascalientes,1009,Tepezalá,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
968,2015,1,Aguascalientes,1010,El Llano,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1066,2015,1,Aguascalientes,1011,San Francisco de los Romo,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1164,2015,2,Baja California,2001,Ensenada,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1262,2015,2,Baja California,2002,Mexicali,Trata de personas,Trata de personas,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0
1360,2015,2,Baja California,2003,Tecate,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1458,2015,2,Baja California,2004,Tijuana,Trata de personas,Trata de personas,1,2,1,0,5,3,2,0,0.0,4.0,3.0,2.0
1556,2015,2,Baja California,2005,Playas de Rosarito,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1654,2015,3,Baja California Sur,3001,Comondú,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1752,2015,3,Baja California Sur,3002,Mulegé,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1850,2015,3,Baja California Sur,3003,La Paz,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1948,2015,3,Baja California Sur,3008,Los Cabos,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2046,2015,3,Baja California Sur,3009,Loreto,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2144,2015,4,Campeche,4001,Calkiní,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2242,2015,4,Campeche,4002,Campeche,Trata de personas,Trata de personas,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
2340,2015,4,Campeche,4003,Carmen,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2438,2015,4,Campeche,4004,Champotón,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2536,2015,4,Campeche,4005,Hecelchakán,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2634,2015,4,Campeche,4006,Hopelchén,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2732,2015,4,Campeche,4007,Palizada,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2830,2015,4,Campeche,4008,Tenabo,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2928,2015,4,Campeche,4009,Escárcega,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3026,2015,4,Campeche,4010,Calakmul,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3124,2015,4,Campeche,4011,Candelaria,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3222,2015,5,Coahuila de Zaragoza,5001,Abasolo,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3320,2015,5,Coahuila de Zaragoza,5002,Acuña,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3418,2015,5,Coahuila de Zaragoza,5003,Allende,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3516,2015,5,Coahuila de Zaragoza,5004,Arteaga,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3614,2015,5,Coahuila de Zaragoza,5005,Candela,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3712,2015,5,Coahuila de Zaragoza,5006,Castaños,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3810,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Trata de personas,Trata de personas,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
3908,2015,5,Coahuila de Zaragoza,5008,Escobedo,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
